id,"Your answer: Republican/Democrat. Type: ""r"" or ""d""",Tweet text
20701591,d,"When only 30% of our troops who have experienced sexual assault are actually reporting it, that’s a problem. A big one.

If survivors don’t trust the current system in our military enough to report it and get help, it isn’t working. 

Congress must work to fix it. Now."
22010413,r,"It was great getting to chat with @ChrisEvans & @MarkKassen today on the importance of holding Big Tech accountable and the selective censorship on today’s platforms. 

We must protect Americans’ right to freedom of speech. @ASP"
21144657,r,I’m extremely grateful the @SenateVA included my bill in to expand Fry Scholarships to spouses & children of members of the National Guard and Reserves who died in the line of duty but whose deaths did not occur when the member was on active duty.
21252009,d,"I’m wishing an easy and meaningful fast to all my friends, neighbors, and everyone observing Yom Kippur. G’mar Chatimah Tovah!"
21163768,d,Pleased the Ohio legislature acted last night to send another $650M in COVID19 relief funding from the CARES Act to local governments across the state. I will continue to advocate for more flexibility & additional state and local resources in future federal COVID relief packages.
20966466,r,"I commend @realDonaldTrump, @SecPompeo, and many others in this administration for facilitating this historic agreement and advancing the cause of peace and prosperity in the region."
20741418,r,A new policy borne from Xi Jinping's strategic plans is the new Dual Circulation strategy (DCS). The DCS calls for Beijing to retreat from relying on foreign countries and Western democracies and emphasize internal manufacturing and high-tech development.
21773895,d,"Deeply concerned with the ongoing fighting between Armenia & Azerbaijan over the Nagorno-Karabakh region. 

My view has been clear from the start: Both sides need to put down their weapons and come to the table to negotiate a peaceful end to this decades-long disagreement."
21196381,d,"I’m inspired to fight—harder than ever—this Republican rush to confirm a Justice before the election, denying Americans their say. My meeting w/these leaders brought home how much is at risk, especially for reproductive rights & protections for people w/pre-existing conditions."
21455289,d,"We’ve seen in a myriad of other contexts, including concerning right-wing militias like the Boogaloos, that Facebook has repeatedly failed to enforce its existing policies consistently."
21955655,r,Confirming Judge Barrett is a great victory for every American who cherishes our fundamental liberties. #JusticeBarrett #SCOTUS
21378973,d,"FYI Senate GOP holds in person meetings 3x a week. Dem Senators hold our meetings virtually.

In those GOP meetings, some wear masks and others don't. Low wage food service workers are required to be in attendance. 

But McConnell still refuses to test every worker in the Senate."
21955063,r,"Democrats can’t muster a decent argument against Judge Barrett’s record. Instead, they’re stoking fears about health care. The truth is they want to abolish your private health insurance."
20892608,d,"1/4 of American women will be the victim of physical violence by an intimate partner. More than 1/3 will be raped, assaulted or stalked. Numbers are worse for Native American and LGBT women. We can’t wait another day to reauthorize VAWA and stop the epidemic of domestic violence."
22065880,d,"Not only is this a lie, it’s an insult to the memory of the doctors, nurses and other frontline health care workers who died fighting this virus--and a slap in the face to the families who mourn them. What an absolute disgrace."
21193117,r,This bill would streamline the Paycheck Protection Program loan forgiveness process which would benefit small businesses across Oklahoma.
20902710,d,"Almost a year ago, I filed a bipartisan resolution condemning blasphemy laws across the globe. Last month, I spoke on the importance of my resolution after US Citizen Tahir Naseem was killed in Pakistan. Less than a month later, Pakistan sentenced another person of faith to death"
21342328,d,"The ADA was supposed to consign workplace discrimination to history books. But if the latest Republican COVID-19 proposal is any indication, it's still very much at risk.

This #DisabilityEmploymentAwarenessMonth, let's be clear: Americans with disabilities won't be left behind."
21141257,r,S.785 overwhelmingly passed in the Senate and just passed in the U.S. House of Representatives. This bill will expand mental health resources for Veterans both inside and outside @DeptVetAffairs. Thank you @SecWilkie for the support.
21823973,d,"Between the anguished cries of parents who have lost their children and children who have lost their parents, and the grief of over 220,000 families mourning a loved one, this Administration has caused this Nation immeasurable pain. It’s unforgivable."
21253233,d,"Trump paid $0 in income taxes many years. His business used billions in government services & he contributed nothing. This is the deep corruption of our system, where the wealthiest pay virtually nothing & the burden falls on the middle class. Wake up! Let’s reclaim our country."
22081945,d,"Keep working everyone. Yes this is red alert alarming - the potential to throw out 100,000 votes that have already been cast - but just keep calling, keep working, keep voting."
20699258,r,"Four straight months of defying expectations and getting back on track faster than the experts said we could.

Now let’s push toward reopening and returning to the rocket ship economy created under @realDonaldTrump!"
20959263,d,"Clearly, Donald Trump doesn't care about the Gold Star families who might be wondering right now if their son or daughter was killed as a result of a Russian bounty program. 
 
Day 82 of presidential silence on #BountyGate."
21944210,d,"Watching Republicans ignore the clear wishes of the American people, explicitly reject attempts to help families and communities get through this pandemic, and press on with this grotesque power grab is a new low for this body, for our country, and for the people we serve."
22099465,r,"""Those of steadfast mind you keep in peace—because they trust in you. Trust in the Lord forever, for in the Lord God you have an everlasting rock.""
- Isaiah 26: 3-4"
21600600,r,Joining @TuckerCarlson tonight at ~7pm CT to talk about the first day of the #SCOTUS confirmation hearing for Judge Amy Coney Barrett in @senjudiciary. Tune in! #ConfirmACB
21805252,d,"Trump & his admin have made their position very clear: they want to see the entire #ACA fall. So the president nominated Judge Amy Coney Barrett, who outright stated that she disagrees with Chief Justice Robert’s opinion on the #ACA. 
 
#WhatsAtStake"
21596738,d,"Today, in South Dakota, we’re celebrating Native Americans' Day. I am proud to serve all of our Dakota, Nakota, and Lakota people, and I’m thankful to live in a state that celebrates its Native American history & traditions."
21943610,d,"Update: because of what you did yesterday, Jon Ossoff has $592,811.34 more to spend on his voter turnout effort. Just unreal.

And a new poll from today:

Ossoff 46
Perdue 45

A win in Georgia is more possible because of what you did. A huge thanks from me and @brianschatz."
21572816,d,"At this point, McConnell's warped priorities shouldn't surprise anyone. It doesn’t faze me and I'm going to keep fighting for Americans to get the relief they deserve."
21063558,d,"Senator McConnell needs to listen to the members of his caucus who are calling for fairness.
 
The Senate should not consider any replacement for Justice Ginsburg until after the next Presidential inauguration."
21385687,r,Another strong debate for my friend & colleague Senator Joni Ernst She is an effective leader for ALL Iowans
20990465,r,Yesterday I spoke with @MVD_USACE Commander @DianaMHolland about securing funding for the Quincy Bay restoration to open up the waterway for recreation & address environmental erosion. I'll keep working with the Army Corps to move this project forward.
20988078,d,"When it comes to Donald Trump's subservient behavior toward Putin, I wonder:

1. Why would he believe Putin over our own intelligence about 2016 election meddling?

2. What does Putin have on him?

3. Why has he not publicly confronted Putin about #BountyGate in the past 83 days?"
21831129,r,"Today, Senate Republicans attempted once again to deliver critical assistance to the families, workers, schools, hospitals, and small businesses that are all struggling as a result of the COVID-19 pandemic."
21057624,r,"These are nothing but childish threats from @SenSchumer and the Democrats. Voters elected a Republican President and Republican Senate. 

We have a duty to fill the open seat on the Supreme Court."
21251426,r,"FUN FACT: Judge Barrett went to college in Tennessee. A Rhodes College alum, she was a star student: magna cum laude graduate, most outstanding English major, and winner of best senior thesis."
21536003,d,"Thank you @FEMA for awarding @CLTgov a $1.6 million grant to cover costs for taking Emergency Protective Measures to combat COVID-19, including training for response and providing supplies and commodities to hospitals, first responders, and other critical employees staff."
21601065,d,Democrats will not stop fighting for the millions of Americans who could have their health coverage ripped away. #WhatsAtStake
20937791,r,My wife hates my “listening to the host ask the first question angry face”. I swear it’s unintentional @mitchellreports.
21502683,d,"I spoke with @UMaine President Ferrini-Mundy about how these grants will allow the university system to build on the world-class education they provide. I applaud the Alfond Foundation for this investment in Maine’s institutions of higher education, our young people, & our state."
21891446,r,".@SenJackyRosen, @SenFeinstein, @SenKamalaHarris & I are urging the Secretary of the Air Force to reconsider the NV Air National Guard Base in Reno as a candidate for 8 C-130J aircraft, which would help improve the Guard’s firefighting abilities in NV, CA & throughout the region"
21358112,r,"As the COVID-19 pandemic continues, South Dakotans—especially those in rural areas—need to know they can access medical attention when they need it. Fortunately, telehealth services have become an easy and safe way for folks to speak with a medical professional from their home."
21656579,d,"If you or a loved one is struggling, please know you are not alone. @800273Talk, The National Suicide Prevention Lifeline, offers free, confidential crisis counseling 24/7/365."
22058551,r,"✅ Increasing transparency from insurers.
✅ Empowering consumers through upfront pricing.
 
President @realDonaldTrump is fulfilling his promise to make the health care industry work better for the American people."
21146084,d,"Our Founders made the crucial choice that our Constitution — the most enduring in the world — would not lead to a president with the impulses of a king unchecked by the other co-equal branches of government.

@realDonaldTrump’s comments threaten our very democracy."
21536644,r,"Democrats continue to talk about peaceful transition of power, but since @realDonaldTrump was elected they wasted tax dollars on a Russia investigation that turned out to be nothing, then impeached the President as soon as they took the House."
20832032,d,"Our nation’s law enforcement officers continue their work to keep our children safe. 

With more than $2.5M from @TheJusticeDept headed to Mississippi schools for enhanced safety measures, parents can be assured our schools are doing their part."
21214614,d,A majority of Americans think filling Justice Ginsburg’s vacancy on the Supreme Court should be done by whoever wins the election in November. We should not ram through a #SCOTUS nominee when Americans have already started to vote.
22029868,d,"Amidst the hardship of #COVID, it’s heartwarming to see people doing their part to protect the health & safety of others. This virus has reshaped many things, but it hasn’t changed our shared values or the basic goodness of people. Thanks to all those making a difference!"
20776897,r,Glad to see my colleagues joining the effort to end Section 230 immunity for political censorship. The coalition continues to expand. I hope more members join! #BigTech #Section230
21514982,d,"The attacks on and aggression toward Armenian civilians in the Nagorno-Karabakh region must stop. All actors, including Turkey, must take steps immediately to cease the violence, de-escalate the situation, and support negotiations toward peace and stability."
21484324,d,I’m proud to join Californians all over the state in marking #CaliforniaCleanAirDay. We’ve made great strides over the decades to clean up our air and transition to greener modes of transportation and energy.
21365470,d,"This is welcome news! I look forward to reviewing the details when available. In the meantime, I'm continuing to push for automatic loan forgiveness for all PPP loans under $150k."
21557018,r,"Voters don’t DESERVE to know your position, Joe? That’s your position now. Talk about contempt for the American people"
21126058,d,"The report draws almost exclusively on records from the U.S. gov and U.S. entities, and from the testimony of U.S. persons. The only exception is a handful of documents that have been authenticated by the U.S.  persons who should have provided them in the first instance."
20853067,r,"This is a code red moment for small businesses. It’s why nearly 2,000 buildings across the country — from Seattle’s Space Needle to New York’s Madison Square Garden — lit up in red lights earlier this month to underscore the need for urgent action. #RESTARTamerica"
20912427,d,The effects of climate change are raging across the United States as we speak. This bipartisan agreement to phasedown the use of hydrofluorocarbons should be one of many steps we take to address this climate crisis before it is too late.
21615568,r,"Justice Thomas is exactly correct. At the behest of #BigTech, courts have stretched and reshaped and rewritten Section 230 beyond all recognition. It’s become the biggest giveaway to monopolies in American history"
21857286,r,"Too many veterans continue to suffer from PTSD, and we need to be learning from the best researchers around the world. That's why I'm supporting a bipartisan bill that will help U.S. servicemembers access Israel’s cutting edge PTSD treatment, therapy, and ongoing research."
21338486,r,"I’m proud that @uidaho and @SimplotCompany have partnered with @FeedtheFuture to share Idaho's unparalleled expertise in potato cultivation to drive agriculture-led growth & to end hunger around the world.

Idahoans can be proud of their role in this life saving program."
20829905,d,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS"
21891296,d,A huge congrats and big welcome to @crysdunn_19! The @ThornsFC and entire Oregon family are lucky to have you. #BAONPDX
20847358,d,"It’s been 19 years since the devastating 9/11 terrorist attacks took the lives of 2,977 people & changed our nation forever.

We will never forget the heroic actions of our first responders, the lives tragically taken, or the pain & heartbreak of the victims’ families."
22120716,d,"Let’s compare. 

- Dr. Fauci is one of our nation’s most trusted and experienced public health experts.

- Donald Trump still doesn't have a national testing strategy, disregards basic facts about #COVID19 and is knowingly putting American lives at risk. 

Listen to Dr. Fauci."
21924754,d,"ON FIRE for the first hour. Great job, team. $500K is possible. Lots of work to do but possible.

@brianschatz and I need to jet for an hour to go vote against Amy Coney Barrett on the Senate floor. Do us a solid - by the time we’re done can we do another $75K?"
21271487,d,"Ruth Bader Ginsburg’s passing has come at a particularly difficult moment for our nation. The polarization of our Congress is making it much harder to address the real challenges we face, like the pandemic and the economic crisis that combined continue to ravage our communities."
21309825,d,I’m working to prevent the Trump Admin from taking away people’s #healthcare. @SenateDems are forcing a vote tomorrow to block A.G. Barr from using taxpayer dollars to support Trump’s lawsuit to overturn the #AffordableCareAct (#ACA). Urge the U.S. Senate to #ProtectOurCare!
21505613,d,"2/ Like Gorsuch/Kavanaugh/Alito/Thomas, she is an ""orginalist"" on guns. It's total BS - just a way to legislate from the court and invalidate modern gun laws. 

But basically, she believes that if the regulation didn't exist in 1787 then it's unconstitutional."
21913345,d,"Sen Blumenthal demanded:
—Enhanced Background Checks
—Paycheck Fairness
—Forced Arbitration Injustice Repeal
—Domestic Violence Survivor Protection
—Veterans’ Access to Child Care
—Securing America’s Federal Elections
—Congressional Budget Justification Transparency

GOP objected"
20824326,d,"Our economy is crumbling. Our communities are falling apart. Our planet is on fire. We can and must rebuild, but any recovery will be incomplete unless we confront the interconnected crises of economic, racial, and environmental injustice."
21183656,d,"On 6/20, Trump said ""When you do testing...you find more cases. So I said to my people, slow the testing down please.""

On 8/24, CDC issued new rules contradicting established science, telling those who had been in close contact with people w/ COVID they didn't need a test.

FYI."
22122739,r,"Very sad to hear that one of my oldest and best supporters, Bram Lusk, passed away today. 

Bram helped with my first State House race and all races that followed. He was a hard worker, good friend, and Air Force veteran.  He will be missed by his family and friends. #RIP Bram"
21865410,d,"If Amy Coney Barrett does what @realDonaldTrump says, she will do:
❌ Protections for pre-existing health conditions taken away
❌ An estimated 800,000 children would lose health insurance
❌ Young adults under 26 could be kicked off their parent’s insurance

#WhatsAtStake"
21028173,d,"If four Republican Senators commit not to vote to fill this Supreme Court vacancy until after the presidential inauguration, then the voices of the American people will have a chance to be heard."
21214622,d,"Four years ago, McConnell and his allies made up a rule that the Senate can’t vote on a Supreme Court nominee eight months before an election. They now intend to break it by ramming one through just days before election day when thousands of Montanans will have already voted."
20694300,r,"The US continues to crack down on @NicolasMaduro’s cronies plotting to interfere with Venezuela’s democracy & steal the elections.

I applaud the administration for their unwavering commitment to the people of VZ."
22003853,r,"The Facebook employee who is in charge of election integrity on the platform is a former Biden staffer. 
And, according to Mr. Zuckerberg, he isn’t even aware of it. 

Is there someone to balance this ideology in a similar election integrity role at his company? **crickets**"
20826815,r,"➡️ More than $100 billion to help K-12 schools and universities re-open.
 
➡️ Billions more for testing, contact tracing, treatments, and vaccines.
 
➡️ More choice and flexibility for families to navigate education and childcare."
20933773,r,"It's an exciting day in Tulsa! Be sure to tune in as @ENERGY’s @ScienceUnderSec and @EnergyTechUSA joins @NASA Administrator, and fellow Okie, @JimBridenstine at @utulsa today to discuss new opportunities to accelerate U.S. leadership in the space economy."
20731910,d,"Trump keeps saying the economy is improving—but the truth is, only the wealthiest are reaping the benefits. Meanwhile:
→Over 100,000 small businesses have closed their doors for good
→Almost 30M people are on unemployment
→Too many families are unsure how to pay their rent"
20964308,d,Heard powerful stories from @ExtendPua advocates yesterday. Thousands of Oregonians have been struggling to make ends meet without the $600 weekly boost thanks to Republican inaction. And now families in my state have been hit by devastating wildfires.
21398096,d,"Ok stand by for a link a big goal for today. 

I will use my discretion but I have an idea based on some good data I recently saw and suggestion from @TeamHeinrich."
21675333,r,"Due to #COVID19, cash-strapped communities in Michigan are facing serious budget challenges, which could affect critical services & force layoffs of first responders & health care professionals.
 
Let's come together—just as we have before—to pass bipartisan relief for Michigan."
20966887,r,Bipartisan group in House proposed compromise plan to restart negotiations but Speaker Pelosi rejected out of hand. Moderate Dems urging Pelosi to compromise like we all did w CARES Act but it’s clear radicals have all the influence
21629005,d,"I’m so proud of these Tennessee workers, the contractors and the entire community, who have gone above and beyond to complete Vision 2020."
21192489,r,"Way to go @TeamMinot. The Omaha Trophy awards are a testament to the incredible efforts of the airmen and women at MAFB, both in the 5th Bomb Wing and the 91st Missile Wing."
21487374,d,"President Trump lied.

And 210,000 Americans died from COVID.

President Trump is still lying and putting his political self-interest first.

And Americans across the country are still at risk, are still getting infected, and still dying."
21105642,d,"My prayers and my deepest sympathies are with those who have lost loved ones, and those who are living with the long-term health repercussions of the virus.
 
It didn’t have to be this way."
20956452,r,"#AbrahamAccords with #Israel, the #UAE, and #Bahrain is a historic achievement towards peace in the Middle East

I congratulate @POTUS on this accomplishment

Congress must make sure we remain committed to another key to regional peace, Israel’s qualitative military advantage"
20696150,r,"Today’s jobs report shows that our phased reopening of the economy and the #PaycheckProtectionProgram are working.

We still have work to do, but it’s clear that the Great American Comeback is beginning. #GAsen #GApol"
21355189,r,Barbara & I regularly pray for @realDonaldTrump & our First Lady as 1 Timothy 2:1-2 tells us to pray for those in authority but 2day we hv additional prayer that they get well soon after testing positive for coronavirus
20855315,r,Congratulations to Sergeant Major Thomas Payne on receiving the Medal of Honor today for his heroism during a 2015 prisoner rescue in Iraq. He's the first recipient of the award in the fight against ISIS. We're proud of and thankful for his service.
